pokemon_id,move_id,pokemon_move_method_id,level
1,33,1,1
1,45,1,1
1,22,1,3
1,74,1,6
1,73,1,9
1,75,1,12
1,77,1,15
1,79,1,15
1,402,1,18
1,36,1,21
1,230,1,24
1,235,1,27
1,388,1,30
1,438,1,33
1,76,1,36
1,80,2,0
1,92,2,0
1,174,2,0
1,275,2,0
1,14,4,0
1,34,4,0
1,36,4,0
1,38,4,0
1,76,4,0
1,92,4,0
1,156,4,0
1,164,4,0
1,174,4,0
1,182,4,0
1,188,4,0
1,202,4,0
1,203,4,0
1,204,4,0
1,206,4,0
1,214,4,0
1,241,4,0
1,263,4,0
1,270,4,0
1,282,4,0
1,311,4,0
1,331,4,0
1,345,4,0
1,402,4,0
1,412,4,0
1,437,4,0
1,447,4,0
1,474,4,0
1,491,4,0
1,520,4,0
1,580,4,0
1,803,4,0
1,851,4,0
1,885,4,0
2,22,1,1
2,33,1,1
2,45,1,1
2,74,1,1
2,73,1,9
2,75,1,12
2,77,1,15
2,79,1,15
2,402,1,20
2,36,1,25
2,230,1,30
2,235,1,35
2,388,1,40
2,438,1,45
2,76,1,50
2,80,2,0
2,92,2,0
2,174,2,0
2,275,2,0
2,14,4,0
2,34,4,0
2,36,4,0
2,38,4,0
2,46,4,0
2,76,4,0
2,92,4,0
2,156,4,0
2,164,4,0
2,174,4,0
2,182,4,0
2,188,4,0
2,202,4,0
2,203,4,0
2,204,4,0
2,206,4,0
2,214,4,0
2,241,4,0
2,263,4,0
2,270,4,0
2,282,4,0
2,311,4,0
2,331,4,0
2,345,4,0
2,402,4,0
2,412,4,0
2,437,4,0
2,447,4,0
2,474,4,0
2,491,4,0
2,520,4,0
2,580,4,0
2,803,4,0
2,851,4,0
2,885,4,0
3,572,1,0
3,74,1,1
3,80,1,1
3,22,1,1
3,33,1,1
3,45,1,1
3,73,1,9
3,75,1,12
3,79,1,15
3,77,1,15
3,402,1,20
3,36,1,25
3,230,1,30
3,235,1,37
3,388,1,44
3,438,1,51
3,76,1,58
3,80,2,0
3,92,2,0
3,174,2,0
3,275,2,0
3,14,4,0
3,34,4,0
3,36,4,0
3,38,4,0
3,46,4,0
3,63,4,0
3,76,4,0
3,89,4,0
3,92,4,0
3,133,4,0
3,156,4,0
3,164,4,0
3,174,4,0
3,182,4,0
3,184,4,0
3,188,4,0
3,202,4,0
3,203,4,0
3,204,4,0
3,206,4,0
3,214,4,0
3,241,4,0
3,263,4,0
3,270,4,0
3,282,4,0
3,311,4,0
3,331,4,0
3,338,4,0
3,345,4,0
3,398,4,0
3,402,4,0
3,412,4,0
3,414,4,0
3,416,4,0
3,437,4,0
3,447,4,0
3,474,4,0
3,491,4,0
3,520,4,0
3,523,4,0
3,572,4,0
3,580,4,0
3,707,4,0
3,803,4,0
3,851,4,0
3,885,4,0
4,10,1,1
4,45,1,1
4,52,1,4
4,108,1,8
4,225,1,12
4,424,1,17
4,163,1,20
4,53,1,24
4,184,1,28
4,83,1,32
4,517,1,36
4,394,1,40
4,44,2,0
4,68,2,0
4,187,2,0
4,231,2,0
4,232,2,0
4,246,2,0
4,407,2,0
4,525,2,0
4,7,4,0
4,9,4,0
4,14,4,0
4,34,4,0
4,36,4,0
4,53,4,0
4,83,4,0
4,91,4,0
4,126,4,0
4,129,4,0
4,156,4,0
4,157,4,0
4,164,4,0
4,182,4,0
4,184,4,0
4,200,4,0
4,203,4,0
4,206,4,0
4,214,4,0
4,232,4,0
4,241,4,0
4,242,4,0
4,257,4,0
4,261,4,0
4,263,4,0
4,270,4,0
4,280,4,0
4,315,4,0
4,317,4,0
4,337,4,0
4,349,4,0
4,374,4,0
4,394,4,0
4,406,4,0
4,411,4,0
4,421,4,0
4,424,4,0
4,488,4,0
4,519,4,0
4,525,4,0
4,851,4,0
4,46,4,0
4,264,4,0
4,311,4,0
4,784,4,0
4,915,4,0
5,10,1,1
5,45,1,1
5,52,1,1
5,108,1,1
5,225,1,12
5,424,1,19
5,163,1,24
5,53,1,30
5,184,1,37
5,517,1,48
5,394,1,54
5,44,2,0
5,68,2,0
5,187,2,0
5,231,2,0
5,232,2,0
5,246,2,0
5,407,2,0
5,525,2,0
5,7,4,0
5,9,4,0
5,14,4,0
5,34,4,0
5,36,4,0
5,53,4,0
5,83,4,0
5,91,4,0
5,126,4,0
5,129,4,0
5,156,4,0
5,157,4,0
5,164,4,0
5,182,4,0
5,184,4,0
5,200,4,0
5,203,4,0
5,206,4,0
5,214,4,0
5,241,4,0
5,242,4,0
5,257,4,0
5,261,4,0
5,263,4,0
5,270,4,0
5,280,4,0
5,315,4,0
5,317,4,0
5,337,4,0
5,349,4,0
5,374,4,0
5,394,4,0
5,406,4,0
5,421,4,0
5,424,4,0
5,488,4,0
5,519,4,0
5,525,4,0
5,851,4,0
5,46,4,0
5,264,4,0
5,311,4,0
5,411,4,0
5,784,4,0
5,915,4,0
6,403,1,0
6,10,1,1
6,45,1,1
6,52,1,1
6,108,1,1
6,257,1,1
6,337,1,1
6,225,1,12
6,424,1,19
6,163,1,24
6,53,1,30
6,184,1,39
6,83,1,46
6,517,1,54
6,394,1,62
6,44,2,0
6,68,2,0
6,187,2,0
6,231,2,0
6,232,2,0
6,246,2,0
6,407,2,0
6,525,2,0
6,7,4,0
6,9,4,0
6,14,4,0
6,19,4,0
6,34,4,0
6,36,4,0
6,53,4,0
6,63,4,0
6,76,4,0
6,83,4,0
6,89,4,0
6,91,4,0
6,126,4,0
6,129,4,0
6,156,4,0
6,157,4,0
6,164,4,0
6,182,4,0
6,184,4,0
6,200,4,0
6,201,4,0
6,203,4,0
6,214,4,0
6,241,4,0
6,242,4,0
6,257,4,0
6,261,4,0
6,263,4,0
6,270,4,0
6,280,4,0
6,307,4,0
6,314,4,0
6,315,4,0
6,317,4,0
6,332,4,0
6,337,4,0
6,349,4,0
6,374,4,0
6,394,4,0
6,403,4,0
6,406,4,0
6,411,4,0
6,416,4,0
6,421,4,0
6,424,4,0
6,488,4,0
6,512,4,0
6,519,4,0
6,523,4,0
6,525,4,0
6,542,4,0
6,851,4,0
6,46,4,0
6,535,4,0
6,264,4,0
6,311,4,0
6,38,4,0
6,784,4,0
6,815,4,0
6,913,4,0
6,915,4,0
7,33,1,1
7,39,1,1
7,55,1,3
7,110,1,6
7,229,1,9
7,44,1,12
7,352,1,15
7,182,1,18
7,240,1,21
7,401,1,24
7,504,1,27
7,334,1,30
7,56,1,33
7,834,1,36
7,54,2,0
7,175,2,0
7,243,2,0
7,252,2,0
7,281,2,0
7,323,2,0
7,392,2,0
7,453,2,0
7,791,2,0
7,8,4,0
7,34,4,0
7,36,4,0
7,38,4,0
7,56,4,0
7,57,4,0
7,58,4,0
7,59,4,0
7,91,4,0
7,114,4,0
7,156,4,0
7,164,4,0
7,182,4,0
7,196,4,0
7,203,4,0
7,214,4,0
7,240,4,0
7,250,4,0
7,263,4,0
7,264,4,0
7,270,4,0
7,280,4,0
7,311,4,0
7,330,4,0
7,334,4,0
7,341,4,0
7,352,4,0
7,360,4,0
7,374,4,0
7,428,4,0
7,518,4,0
7,710,4,0
7,812,4,0
7,851,4,0
7,861,4,0
7,886,4,0
8,33,1,1
8,39,1,1
8,55,1,1
8,110,1,1
8,229,1,9
8,44,1,12
8,352,1,15
8,182,1,20
8,240,1,25
8,401,1,30
8,504,1,35
8,334,1,40
8,56,1,45
8,834,1,50
8,54,2,0
8,175,2,0
8,243,2,0
8,252,2,0
8,281,2,0
8,323,2,0
8,392,2,0
8,453,2,0
8,791,2,0
8,8,4,0
8,34,4,0
8,36,4,0
8,38,4,0
8,56,4,0
8,57,4,0
8,58,4,0
8,59,4,0
8,91,4,0
8,114,4,0
8,156,4,0
8,164,4,0
8,182,4,0
8,196,4,0
8,203,4,0
8,214,4,0
8,240,4,0
8,250,4,0
8,263,4,0
8,264,4,0
8,270,4,0
8,280,4,0
8,311,4,0
8,330,4,0
8,334,4,0
8,341,4,0
8,352,4,0
8,360,4,0
8,374,4,0
8,428,4,0
8,518,4,0
8,710,4,0
8,812,4,0
8,851,4,0
8,861,4,0
8,886,4,0
9,430,1,0
9,33,1,1
9,39,1,1
9,55,1,1
9,110,1,1
9,229,1,9
9,44,1,12
9,352,1,15
9,182,1,20
9,240,1,25
9,401,1,30
9,504,1,35
9,334,1,42
9,56,1,49
9,834,1,56
9,54,2,0
9,175,2,0
9,243,2,0
9,252,2,0
9,281,2,0
9,323,2,0
9,392,2,0
9,453,2,0
9,791,2,0
9,8,4,0
9,34,4,0
9,36,4,0
9,38,4,0
9,46,4,0
9,56,4,0
9,57,4,0
9,58,4,0
9,59,4,0
9,63,4,0
9,89,4,0
9,91,4,0
9,114,4,0
9,156,4,0
9,157,4,0
9,164,4,0
9,182,4,0
9,184,4,0
9,196,4,0
9,203,4,0
9,214,4,0
9,240,4,0
9,242,4,0
9,250,4,0
9,263,4,0
9,264,4,0
9,270,4,0
9,280,4,0
9,308,4,0
9,311,4,0
9,317,4,0
9,330,4,0
9,334,4,0
9,341,4,0
9,352,4,0
9,360,4,0
9,374,4,0
9,396,4,0
9,399,4,0
9,406,4,0
9,411,4,0
9,416,4,0
9,419,4,0
9,428,4,0
9,430,4,0
9,479,4,0
9,518,4,0
9,710,4,0
9,776,4,0
9,812,4,0
9,851,4,0
9,861,4,0
9,886,4,0
10,81,1,1
10,33,1,1
10,450,1,9
11,106,1,0
11,106,1,1
12,16,1,0
12,450,1,1
12,16,1,1
12,106,1,1
12,81,1,1
12,33,1,1
12,48,1,4
12,93,1,8
12,77,1,12
12,79,1,12
12,78,1,12
12,60,1,16
12,18,1,20
12,403,1,24
12,219,1,28
12,405,1,32
12,366,1,36
12,476,1,40
12,483,1,44
12,63,4,0
12,76,4,0
12,94,4,0
12,104,4,0
12,138,4,0
12,148,4,0
12,156,4,0
12,164,4,0
12,168,4,0
12,182,4,0
12,202,4,0
12,203,4,0
12,207,4,0
12,213,4,0
12,214,4,0
12,219,4,0
12,240,4,0
12,241,4,0
12,244,4,0
12,247,4,0
12,263,4,0
12,285,4,0
12,332,4,0
12,355,4,0
12,369,4,0
12,405,4,0
12,412,4,0
12,416,4,0
12,432,4,0
13,40,1,1
13,81,1,1
13,450,1,9
14,106,1,0
14,106,1,1
15,31,1,0
15,450,1,1
15,31,1,1
15,106,1,1
15,40,1,1
15,81,1,1
15,210,1,11
15,673,1,14
15,40,1,17
15,116,1,20
15,474,1,23
15,372,1,26
15,390,1,29
15,42,1,32
15,398,1,35
15,97,1,38
15,283,1,41
15,565,1,44
15,14,4,0
15,15,4,0
15,63,4,0
15,76,4,0
15,104,4,0
15,148,4,0
15,156,4,0
15,164,4,0
15,168,4,0
15,182,4,0
15,188,4,0
15,202,4,0
15,203,4,0
15,206,4,0
15,207,4,0
15,213,4,0
15,214,4,0
15,241,4,0
15,249,4,0
15,263,4,0
15,280,4,0
15,332,4,0
15,355,4,0
15,369,4,0
15,371,4,0
15,398,4,0
15,404,4,0
15,416,4,0
15,432,4,0
16,33,1,1
16,28,1,5
16,16,1,9
16,98,1,13
16,18,1,17
16,239,1,21
16,297,1,25
16,97,1,29
16,17,1,33
16,355,1,37
16,366,1,41
16,332,1,45
16,403,1,49
16,542,1,53
16,253,2,0
16,314,2,0
16,403,2,0
16,413,2,0
16,19,4,0
16,104,4,0
16,156,4,0
16,164,4,0
16,168,4,0
16,182,4,0
16,203,4,0
16,207,4,0
16,211,4,0
16,213,4,0
16,214,4,0
16,240,4,0
16,241,4,0
16,263,4,0
16,332,4,0
16,355,4,0
16,365,4,0
16,369,4,0
16,432,4,0
16,526,4,0
17,16,1,1
17,28,1,1
17,33,1,1
17,28,1,5
17,16,1,9
